INFO distributed.py(607): Reducer buckets have been rebuilt in this iteration.
INFO logger.py(47): iter: 9800/150000, lr: 0.047335, eta: 3:17:17, time: 7.63, loss: 4.3791, loss_pre: 0.8593, loss_aux0: 0.9138, loss_aux1: 0.8939, loss_aux2: 0.8641, loss_aux3: 0.8480
INFO logger.py(47): iter: 9900/150000, lr: 0.047304, eta: 3:17:00, time: 7.83, loss: 4.0877, loss_pre: 0.7943, loss_aux0: 0.8705, loss_aux1: 0.8395, loss_aux2: 0.8076, loss_aux3: 0.7758
INFO logger.py(47): iter: 10000/150000, lr: 0.047274, eta: 3:16:40, time: 7.60, loss: 4.3483, loss_pre: 0.8384, loss_aux0: 0.9219, loss_aux1: 0.9040, loss_aux2: 0.8581, loss_aux3: 0.8259
INFO logger.py(47): iter: 10100/150000, lr: 0.047243, eta: 3:16:19, time: 7.55, loss: 4.2157, loss_pre: 0.8339, loss_aux0: 0.8798, loss_aux1: 0.8592, loss_aux2: 0.8315, loss_aux3: 0.8112
INFO logger.py(47): iter: 10200/150000, lr: 0.047213, eta: 3:15:59, time: 7.56, loss: 4.1735, loss_pre: 0.8232, loss_aux0: 0.8761, loss_aux1: 0.8531, loss_aux2: 0.8215, loss_aux3: 0.7995
INFO logger.py(47): iter: 10300/150000, lr: 0.047183, eta: 3:15:41, time: 7.68, loss: 4.0978, loss_pre: 0.7901, loss_aux0: 0.8844, loss_aux1: 0.8506, loss_aux2: 0.8054, loss_aux3: 0.7672
INFO logger.py(47): iter: 10400/150000, lr: 0.047152, eta: 3:15:20, time: 7.48, loss: 4.2578, loss_pre: 0.8177, loss_aux0: 0.8945, loss_aux1: 0.8815, loss_aux2: 0.8503, loss_aux3: 0.8137
INFO logger.py(47): iter: 10500/150000, lr: 0.047122, eta: 3:15:00, time: 7.57, loss: 4.2929, loss_pre: 0.8461, loss_aux0: 0.9045, loss_aux1: 0.8737, loss_aux2: 0.8449, loss_aux3: 0.8237
INFO logger.py(47): iter: 10600/150000, lr: 0.047091, eta: 3:14:43, time: 7.66, loss: 4.1379, loss_pre: 0.8062, loss_aux0: 0.8859, loss_aux1: 0.8469, loss_aux2: 0.8079, loss_aux3: 0.7909
INFO logger.py(47): iter: 10700/150000, lr: 0.047061, eta: 3:14:24, time: 7.62, loss: 4.2178, loss_pre: 0.8199, loss_aux0: 0.9014, loss_aux1: 0.8699, loss_aux2: 0.8280, loss_aux3: 0.7986
INFO logger.py(47): iter: 10800/150000, lr: 0.047031, eta: 3:14:06, time: 7.60, loss: 4.2146, loss_pre: 0.8113, loss_aux0: 0.9006, loss_aux1: 0.8657, loss_aux2: 0.8243, loss_aux3: 0.8127
INFO logger.py(47): iter: 10900/150000, lr: 0.047000, eta: 3:13:46, time: 7.49, loss: 4.2604, loss_pre: 0.8213, loss_aux0: 0.8968, loss_aux1: 0.8844, loss_aux2: 0.8474, loss_aux3: 0.8105
INFO logger.py(47): iter: 11000/150000, lr: 0.046970, eta: 3:13:29, time: 7.67, loss: 4.1633, loss_pre: 0.8212, loss_aux0: 0.8770, loss_aux1: 0.8490, loss_aux2: 0.8142, loss_aux3: 0.8019
INFO logger.py(47): iter: 11100/150000, lr: 0.046939, eta: 3:13:09, time: 7.40, loss: 4.1111, loss_pre: 0.7999, loss_aux0: 0.8685, loss_aux1: 0.8423, loss_aux2: 0.8051, loss_aux3: 0.7953
INFO logger.py(47): iter: 11200/150000, lr: 0.046909, eta: 3:12:51, time: 7.57, loss: 4.2075, loss_pre: 0.8275, loss_aux0: 0.8901, loss_aux1: 0.8518, loss_aux2: 0.8321, loss_aux3: 0.8059
INFO logger.py(47): iter: 11300/150000, lr: 0.046879, eta: 3:12:33, time: 7.53, loss: 4.1035, loss_pre: 0.7921, loss_aux0: 0.8822, loss_aux1: 0.8456, loss_aux2: 0.7997, loss_aux3: 0.7839
INFO logger.py(47): iter: 11400/150000, lr: 0.046848, eta: 3:12:18, time: 7.82, loss: 4.1822, loss_pre: 0.8169, loss_aux0: 0.8804, loss_aux1: 0.8627, loss_aux2: 0.8260, loss_aux3: 0.7962
INFO logger.py(47): iter: 11500/150000, lr: 0.046818, eta: 3:12:01, time: 7.56, loss: 4.2753, loss_pre: 0.8266, loss_aux0: 0.9218, loss_aux1: 0.8878, loss_aux2: 0.8315, loss_aux3: 0.8076
INFO logger.py(47): iter: 11600/150000, lr: 0.046787, eta: 3:11:45, time: 7.70, loss: 4.1179, loss_pre: 0.8039, loss_aux0: 0.8756, loss_aux1: 0.8420, loss_aux2: 0.8112, loss_aux3: 0.7852
